Major field of study,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% change 2008–17,Sex
"Electrical, electronics, and communications engineering",319,260,315,301,336,279,325,293,294,359,12.5,Female
Industrial and manufacturing engineering,79,65,55,78,62,65,89,89,71,83,5.1,Female
Materials science engineering,154,159,175,166,184,217,211,223,262,252,63.6,Female
Mechanical engineering,152,152,125,150,177,196,197,201,200,241,58.6,Female
Other engineering,299,282,307,315,392,502,486,519,480,549,83.6,Female
Education,"4,402","4,366","3,624","3,234","3,299","3,364","3,311","3,492","3,599","3,300",-25.0,Female
Education administration,"1,346","1,308",892,574,665,593,522,576,518,651,-51.6,Female
Education research,"1,876","1,844","1,736","1,736","1,808","1,877","1,828","1,922","1,666","1,636",-12.8,Female
Teacher education,216,240,186,166,113,87,117,120,137,89,-58.8,Female
Teaching fields,623,630,566,555,527,617,649,659,852,652,4.7,Female
Other education,341,344,244,203,186,190,195,215,426,272,-20.2,Female
Humanities and arts,"2,428","2,499","2,552","2,654","2,818","2,885","2,760","2,830","2,842","2,708",11.5,Female
Foreign languages and literature,407,374,382,396,446,430,424,418,371,385,-5.4,Female
History,410,437,449,479,484,516,521,514,527,470,14.6,Female
Letters,893,888,891,898,978,941,894,936,931,874,-2.1,Female
Other humanities and arts,718,800,830,881,910,998,921,962,"1,013",979,36.4,Female
Otherb,"1,375","1,385","1,400","1,400","1,369","1,543","1,553","1,558","1,469","1,713",24.6,Female
Business management and administration,560,533,550,535,564,641,669,648,575,675,20.5,Female
Communication,325,364,390,417,350,401,383,411,410,428,31.7,Female
Non-S&E fields nec,490,488,460,448,455,501,501,499,480,610,24.5,Female
Unknown field,0,0,0,0,0,0,0,0,4,0,0.0,Female
